name;state;city;country_code;
BOSTON BHANGRA INC;MA;Brookline;us;
BOSTON CHILDREN'S FOUNDATION INC;MA;SOUTH BOSTON;us;
SANDS FAMILY FOUNDATION C/O GERALD SANDS;MA;DEDHAM;us;
WALPOLE REBELS GRIDIRON CLUB;MA;WALPOLE;us;
THE WILLIAM STURGIS FRIENDS OF EDUCATION FOUNDATION INC;MA;HYANNIS;us;
JEFFREY COOMBS MEMORIAL FOUNDATION INC;MA;ABINGTON;us;
ORGANIZACION DOMINICANA DE RECURSOS INTERNACIONALES INC;MA;HAVERHILL;us;
BLESSING FARM INC;MA;CHARLTON;us;
CYCLE KIDS INC;MA;CAMBRIDGE;us;
Andrew Zabierek Memorial Scholarship Fund;MA;Chelmsford;us;
HARRIS FAMILY FOUNDATION INC C/O JAY R HARRIS;MA;BOSTON;us;
NATIONAL COUNCIL FOR OCCUPATIONAL SAFETY & HEALTH;MA;SOMERVILLE;us;
Springfield Library Foundation Inc;MA;East Longmeadow;us;
Clara Foundation Inc;MA;Siasconset;us;
Old Rochester Community Television Inc;MA;Mattapoisett;us;
WILDFLOWER INC;MA;LEXINGTON;us;
FRIENDS OF FRIEDA GARCIA PARK INC;MA;BOSTON;us;
LAURA AND LORENZ REIBLING FAMILY FOUNDATION;MA;LEXINGTON;us;
BERNARD & NITA TRUGMAN CHARITABLE TRUST;MA;WORCESTER;us;
ROYAL HEALTH GROUP CHARITABLE FOUNDATION INC;MA;PEMBROKE;us;
NASHOBA YOUTH HOCKEY ASSOCIATION INC;MA;WESTFORD;us;
Friends of the Lyndon Inc;MA;West Roxbury;us;
CHARLES SARDO MEMORIAL FOUNDATION;MA;CHARLESTOWN;us;
Newburyport Preservation Trust Inc;MA;Newburyport;us;
CNU NEW ENGLAND INC;RI;PROVIDENCE;us;
THE DANIELS FARMSTEAD FOUNDATION INC;MA;BLACKSTONE;us;
704 FHC LLC;MA;FALMOUTH;us;
MALIK ACADEMY INC;MA;CAMBRIDGE;us;
Winter Course in Infectious Diseases Inc;MA;Boston;us;
Northeast Professional Registry of Nurses;MA;Beverly;us;
CLINICS OF HOPE INC;MA;PLYMOUTH;us;
FALMOUTH FIREWORKS COMMITTEE;MA;FALMOUTH;us;
THE ROBERT F TERRY JR FOUNDATION;MA;ARLINGTON;us;
Amboseli Trust for Elephants;MA;Newburyport;us;
PATIENT CARE FUND OF MASHPEE INC;MA;MASHPEE;us;
MIDDLETON PARENT TEACHERS ORG;MA;MIDDLETON;us;
Digital Analytics Association Inc;MA;Wakefield;us;
Amazing Things Art Center Inc;MA;Framingham;us;
CELL PHONES FOR SOLIDERS INC;MA;NORWELL;us;
BUILD A BETTER WORLD;MA;SALEM;us;
HEART HEALTH CHARITIES INC;MA;SALEM;us;
THE JOAN SHAFRAN AND ROB HAIMES FOUNDATION INC;MA;SOMERVILLE;us;
FALMOUTH YOUTH FOOTBALL INC;MA;NORTH FALMOUTH;us;
MULTI-ARTS INC;MA;HADLEY;us;
MENTAL HEALTH AND ADDICTION NETWORK INC;MA;SALEM;us;
HARBOR TO THE BAY INC;MA;BOSTON;us;
JEWISH AID WORLDWIDE AMERICA ISRAEL AND BEYOND INC;MA;SALEM;us;
CHILD AID INTERNATIONAL INC;MA;SALEM;us;
CANCER SUPPORT NETWORK INC;MA;SALEM;us;
EAST LONGMEADOW TENNIS ASSOCIATION;MA;WEST SPRINGFIELD;us;
YAWKEY BASEBALL LEAGUE INC;MA;DORCHESTER;us;
MASSACHUSETTS MORTGAGE BANKERS FOUNDATION INC;MA;BOSTON;us;
LITERARY VENTURES FUND INC C/O NEW HORIZONS PARTNERS LLC;MA;SOUTH HAMILTON;us;
Lloyd E Rhodes Charitable Foundation;MA;Bellingham;us;
Project Chacocente USA Inc;MA;Lexington;us;
COELHO MIDDLE SCHOOL PTO C/O PRINCIPAL'S OFFICE;MA;ATTLEBORO;us;
CAPPELLA CLAUSURA INC;MA;NEWTONVILLE;us;
TOM SIEVER CHARITABLE FOUNDATION INC;MA;PLYMOUTH;us;
Magical Moon Foundation Inc;MA;Marshfield Hills;us;
CAMBRIDGE DANCE YOUTH PROGRAM INC;MA;SOMERVILLE;us;
HAITI AIDS CHARITIES;MA;SALEM;us;
NATIONAL GLAUCOMA SOCIETY INC;MA;ANDOVER;us;
SPRINGFIELD SCHOOL VOLUNTEERS FOUNDATION INC;MA;SPRINGFIELD;us;
CENTER AT WESTWOODS INC;MA;WESTWOOD;us;
SHORE EDUCATIONAL COLLABORATIVE FOUNDATION INC;MA;CHELSEA;us;
THE MOON BALLOON PROJECT INC BUILDING HEALING BRIDGES;MA;HINGHAM;us;
NEW ENGLAND SURGICAL SOCIETY SCHOLARS FOUNDATION;MA;BEVERLY;us;
ST PETER ACADEMY;MA;SOUTH BOSTON;us;
KESTREL LAND TRUST;MA;AMHERST;us;
COLUMBIA ROAD COMMUNITY DEVELOPMENT CORPORATION;MA;SOUTH BOSTON;us;
UNIVERSITY OF MASSACHUSETTS-SEIU LOCAL 888 HEALTH & WELFARE FUND;MA;BRAINTREE;us;
STONEHAM SOCCER CLUB INC;MA;STONEHAM;us;
HINGHAM GIRLS HOCKEY BOOSTERS INC;MA;HINGHAM;us;
GUATEMALA AID FUND INC;MA;ARLINGTON;us;
FRIENDS OF THE CHILDREN - BOSTON INC;MA;BOSTON;us;
MARSHFIELD YOUTH FOOTBALL ASSOC INC;MA;MARSHFIELD HILLS;us;
Boston Product Management Association;MA;Burlington;us;
Hospice of Franklin County Inc;MA;Pittsfield;us;
YERAZART INC;MA;WATERTOWN;us;
SOUTHEASTERN MA AGRICULTURAL PARTNERSHIP INC;MA;South Dartmouth;us;
BOSOMA DANCE COMPANY INC;MA;HAMILTON;us;
REVIVAL PRESBYTERIAN CHURCH OF CAPE;MA;HYANNIS;us;
The Boston Society Inc;MA;Lexington;us;
BACK BAY RINGERS;MA;BOSTON;us;
WESTBOROUGH TV INC;MA;WESTBOROUGH;us;
DUNYA INC;MA;BELMONT;us;
THE BELMONT GOLF SCHOLARSHIP FUND INC;MA;BOSTON;us;
NEW GARDEN PARK INC;MA;WORCESTER;us;
PALACE HEAD FOUNDATION INC C/O RAPHAEL AND RAPHAELLLP;MA;BOSTON;us;
WARREN-PRESCOTT FOUNDATION INC;MA;CHARLESTOWN;us;
NFC Forum Inc;MA;Wakefield;us;
OUTRYDERS INC;MA;QUINCY;us;
SAMUEL HARRISON SOCIETY INC;MA;PITTSFIELD;us;
Belmont Library Foundation Inc;MA;Belmont;us;
MAS BOSTON SOCIETY INC;MA;ROXBURY CROSSING;us;
STEPHEN F QUILL FAMILY FOUNDATION;MA;LANCASTER;us;
WABAN IMPROVEMENT SOCIETY INC;MA;WABAN;us;
UNION SQUARE MAIN STREETS INC;MA;SOMERVILLE;us;
NORTH MIDDLESEX SAVINGS CHARITABLE FOUNDATION INC;MA;AYER;us;
YORKIES INC;MA;TAUNTON;us;
BRADFORD SKI TEAM;MA;WARD HILL;us;
Jill Susan Bloom Foundation C/O Choate Hall & Stewart LLP;MA;Boston;us;
HECH SISSON ROAD INC;MA;WEST HARWICH;us;
Wampatuck Parent Teacher Organization Inc;MA;Scituate;us;
MOELLER FOUNDATION INC;MA;SUDBURY;us;
MIDDLESEX DEPUTY SHERIFF'S ASSOCIATION INC;MA;BURLINGTON;us;
PI KAPPA ALPHA FRATERNITY LAMBDA NU CHAPTER;MA;BOSTON;us;
OCULAR IMMUNOLOGY AND UVEITIS FOUNDATION INC;MA;WESTON;us;
THE BOSTONIAN FOUNDATION INC C/O BANE CARE MANAGEMENT;MA;BRAINTREE;us;
ANGIER SCHOOL PARENT TEACHER ORGANIZATION INC;MA;WABAN;us;
TWIN STATE AMERICAN SADDLEBRED ASSN;MA;HALIFAX;us;
MASSACHUSETTS SOLDIERS LEGACY FUND;MA;MARLBOROUGH;us;
MASSACHUSETTS EHEALTH COLLABORATIVE;MA;WALTHAM;us;
THE RITA S LAMBERGS TOMES FOUNDATIONINC;MA;ACTON;us;
ELDERCARE INITIATIVES INC;MA;SOUTH HADLEY;us;
SOMERSET ACCESS TELEVISION INC;MA;FALL RIVER;us;
Countryside Elementary PTO Inc;MA;Newton Highlands;us;
BOSTON GROUNDWATER TRUST;MA;BOSTON;us;
LAWRENCE COMMUNITY ACCESS TV INC;MA;LAWRENCE;us;
Healing Across the Divides Inc;MA;Northampton;us;
CONQUER CANCER COALITION OF MASSACHUSETTS INC;MA;FRAMINGHAM;us;
MEDICAID MEDICARE CHIP SERVICES DENTAL ASSOCIATION;MA;SANDWICH;us;
OXFAM AMERICA ACTION FUND INC;MA;BOSTON;us;
The Ben Greenberg Children's Foundation Inc;MA;Needham;us;
EDUCATION RESOURCE STRATEGIES INC;MA;WATERTOWN;us;
BRIGHT SPOT THERAPY DOGS INC;MA;WESTHAMPTON;us;
MUSEUM OF RUSSIAN ICONS INC;MA;CLINTON;us;
TRAYSER MUSEUM GROUP INC;MA;BARNSTABLE;us;
Club of Madrid Foundation Inc C/O E Shapiro;MA;Newton;us;
TOURISM CARES INC;MA;NORWOOD;us;
CHARLEY'S FUND INC;MA;GREAT BARRINGTON;us;
STEPHANIE H & DAVID A SPINA FAMILY FOUNDATION;MA;WAYLAND;us;
ROTHWELL FOUNDATION;MA;STOW;us;
ALOSA HEALTH INC;MA;BOSTON;us;
SHREWSBURY MONTESSORI SCHOOL CORPORATION;MA;SHREWSBURY;us;
Agganis Foundation Inc;MA;Marblehead;us;
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 4 LABR MGT CORP TR;MA;MEDWAY;us;
RICHARD A MERRITT;MA;NORWELL;us;
MARIA L H PEIRCE TR UW FBO ST LUKES;MA;HANOVER;us;
PRODUCT STEWARDSHIP INSTITUTE INC;MA;Boston;us;
REFUGEPOINT INC;MA;CAMBRIDGE;us;
THE JESSE COOPER FOUNDATION;MA;KINGSTON;us;
HILL-ROBERTS ELEMENTARY SCHOOL PTO;MA;ATTLEBORO;us;
HANOVER PARENT TEACHER ALLIANCE INC;MA;HANOVER;us;
GREATER LOWELL TECHNICAL HIGH SCHOOL CHARITABLE FOUNDATION INC;MA;TYNGSBORO;us;
WORCESTER HIBERNIAN CULTURAL FOUNDATION INC;MA;WORCESTER;us;
SOLSTICE AN INSTITUTE FOR CREATIVE WRITING INC;MA;NEEDHAM;us;
RUTH LASSITER MINISTRIES INC C/O RUTH LASSITER;MA;NEEDHAM;us;
HOLLOW ROAD DEVELOPMENT CORPORATION;MA;PITTSFIELD;us;
HOMES OF CARE I INC;MA;ANDOVER;us;
Watertown Cable Access Corporation;MA;Watertown;us;
Dudley Conservation Land Trust Inc;MA;Dudley;us;
BEISHO CORPORATION INC;MA;WATERTOWN;us;
GRAFTON GIRLS SOFTBALL ASSOCIATION;MA;GRAFTON;us;
WESTFORD INITIATIVE FOR SENIOR HOUSING INC;MA;CHELMSFORD;us;
KAZAKH AUL OF THE USA ASSOCIATION FOR AMERICAN & KAZAKH FAMILIES;MA;BOXBOROUGH;us;
OPEN SOURCE MEDIA INC;MA;CAMBRIDGE;us;
ELEPHANT PLANET INC;MA;Greenfield;us;
AMERICAN PHYSICIAN SCIENTISTS ASSOCIATION;MA;WESTFORD;us;
Topia Art Center Inc;MA;Adams;us;
NEW YORK GRADUATE SCHOOL OF PSYCHOANALYSIS INC;MA;BROOKLINE;us;
LOON FREESTYLE INC;MA;Cohasset;us;
FRIENDS OF THE PIONEER VALLEY PERFORMING ARTS CHARTER PUBLIC SCHOOL INC;MA;SOUTH HADLEY;us;
Peace of Art;MA;Chelmsford;us;
THE GLOVER SCHOOL PARENT TEACHER ORGANIZATION;MA;MILTON;us;
